,Number,Name_of_Covered_Entity,latitude,longitude,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
648,647,"Calvin Schuster,MD",36.778261,-119.417932,CA,,532,11/4/2012,Theft,Desktop Computer,2014-01-23,,2012-11-04,NA,2012
650,649,University of Nevada School of Medicine,38.80261,-116.419389,NV,,1483,10/11/2012,Improper Disposal,Paper,2014-01-23,,2012-10-11,NA,2012
651,650,Dimensions Healthcare System,39.045755,-76.641271,MD,WorkflowOne,635,11/16/2012,Unauthorized Access/Disclosure,Paper,2014-03-25,,2012-11-16,NA,2012
652,651,SilverScript Insurance Company,34.048928,-111.093731,AZ,,852,10/31/2012,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-10-31,NA,2012
653,652,South Jersey Hospital Inc.,40.058324,-74.405661,NJ,Omnicell Inc.,8555,11/14/2012,Theft,Laptop,2014-01-23,,2012-11-14,NA,2012
654,653,"Child & Family Psychological Services, Inc.",42.407211,-71.382437,MA,"Clearpoint Design, Inc.",7250,10/18/2012-10/29/2012,Hacking/IT Incident,Network Server,2014-01-23,,2012-10-18,2012-10-29,2012
655,654,Pousson Family Dentistry,31.244823,-92.145024,LA,,1400,12/3/2012,Theft,Laptop,2014-01-23,,2012-12-03,NA,2012
657,656,"Lee D. Pollan, DMD, PC",43.299428,-74.217933,NY,,19178,11/06/2012-11/15/2012,Theft,Laptop,2014-05-28,"OCR opened an investigation of the covered entity (CE) after it reported an unencrypted laptop was stolen that contained the electronic protected health information (ePHI) of 19,178 individuals.  The ePHI included names, addresses, zip codes, dates of birth, social security numbers, claims information, and diagnosis codes.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE encrypted the backup drive of the contents of the laptop computer.  The CE also trained all staff on the use of encryption to safeguard data on personal computers and mobile devices.",2012-11-06,2012-11-15,2012
658,657,Washington University School of Medicine,37.964253,-91.831833,MO,,1105,11/28/2012,Theft,Laptop,2014-01-23,,2012-11-28,NA,2012
659,658,Riderwood Village,39.045755,-76.641271,MD,,3230,11/18/2012,Theft,Laptop,2014-01-23,,2012-11-18,NA,2012
660,659,WAYNE MEMORIAL HOSPITAL,41.203322,-77.194525,PA,,1184,12/3/2012,Loss,Other,2014-03-24,,2012-12-03,NA,2012
662,661,Baillie Lumber Co. Group Health Plan,43.299428,-74.217933,NY,BlueCross BlueShield of Western New York,725,11/27/2012,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), Baillie Lumber Co. Group Health Plan, after it reported its business associate (BA), Blue Cross Blue Shield, mailed a monthly premium notice with invoices that contained the protected health information (PHI) of 725 individuals which was never received by the CE.  The PHI included names, member identification numbers, and social security numbers.  The CE provided breach notification to HHS and affected individuals.  Upon discovery of the breach, the BA contacted the U.S. Post Office to inquire about the package that contained the invoices that the CE never received.  As a result of OCR's investigation, the BA revised its invoice process and removed social security numbers and member identification numbers from its invoices.  The BA also improved safeguards by changing its mailing procedures to send invoices to the CE via secure email.  The breach involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2012-11-27,NA,2012
663,662,The University of Texas MD Anderson Cancer Center,31.968599,-99.901813,TX,,29021,4/30/2012,Theft,Laptop,2014-01-23,,2012-04-30,NA,2012
664,663,"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics",43.78444,-88.787868,WI,,2400,05/30/2012-08/31/2012,Theft,Paper,2014-03-24,,2012-05-30,2012-08-31,2012
665,664,Boy Scouts of America Employee Benefit Plan,31.968599,-99.901813,TX,RR Donnelley (a sub-BA for UnitedHealth Group),8911,09/15/2012-11/30/2012,Theft,Desktop Computer,2014-01-23,,2012-09-15,2012-11-30,2012
667,666,Community Services NW,32.318231,-86.902298,AL,,2400,12/6/2012,Theft,Desktop Computer,2014-04-23,,2012-12-06,NA,2012
668,667,American HomePatient Inc. ,35.517491,-86.580447,TN,LifeGas,1103,10/11/2012,Theft,Laptop,2014-01-23,,2012-10-11,NA,2012
671,670,West Georgia Ambulance,32.157435,-82.907123,GA,,500,12/13/2012,Loss,Laptop,2014-01-23,,2012-12-13,NA,2012
674,673,Froedtert Health,43.78444,-88.787868,WI,,43549,10/27/2012-12/13/2012,Unauthorized Access/Disclosure,Other,2014-03-24,,2012-10-27,2012-12-13,2012
676,675,Riderwood Village,39.045755,-76.641271,MD,,5270,11/18/2012,Theft,Laptop,2014-01-23,,2012-11-18,NA,2012
677,676,"Kindred Healthcare, Inc. d/b/a Kindred Transitional Care and Rehabilitation - Marl",42.407211,-71.382437,MA,,716,12/15/2012-12/17/2012,Theft,Other Portable Electronic Device,2014-01-23,,2012-12-15,2012-12-17,2012
678,677,"HomeCare of Mid-Missouri, Inc.",37.964253,-91.831833,MO,,4027,12/14/2012,Theft,Laptop,2014-01-23,,2012-12-14,NA,2012
680,679,Agency for Health Care Administration,27.664827,-81.515754,FL,"DentaQuest of Florida, Inc.",1892,11/01/2012 - 12/20/2012,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-11-01,2012-12-20,2012
681,680,ABQ HealthPartners,34.97273,-105.032363,NM,,778,12/20/2012,Theft,Laptop,2014-01-23,,2012-12-20,NA,2012
682,681,Terrell County Health Department,32.157435,-82.907123,GA,,18000,01/09/2012 -  04/17/2012,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2012-01-09,2012-04-17,2012
683,682,Florida Healthy Kids Corporation,27.664827,-81.515754,FL,"DentaQuest of Florida, LLC",3667,11/01/2012-12/20/2012,Unauthorized Access/Disclosure,Paper,2014-01-23,,2012-11-01,2012-12-20,2012
684,683,Stronghold Counseling Services Inc,43.969515,-99.901813,SD,,8500,12/24/2012,Theft,Desktop Computer,2014-01-23,,2012-12-24,NA,2012
685,684,Arizona Oncology,34.048928,-111.093731,AZ,,501,11/21/2012,Theft,Laptop,2014-01-23,,2012-11-21,NA,2012
686,685,Crescent Health Inc. - a Walgreens Company,36.778261,-119.417932,CA,,109000,12/28/2012,Theft,Desktop Computer,2014-01-23,,2012-12-28,NA,2012
689,688,The Brookdale University Hospital and Medical Center,43.299428,-74.217933,NY,Standard Register,2261,8/11/2012,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), The Brookdale University Hospital and Medical Center, after it reported its business associate (BA), Standard Register, inadvertently mailed statements to 2,261 individuals using another affiliated CE's envelopes.  The protected health information (PHI) included names, addresses and financial information.  OCR provided technical assistance to the CE regarding safeguarding PHI.",2012-08-11,NA,2012
690,689,The Brookdale University Hospital and Medical Center,43.299428,-74.217933,NY,Health Plus Amerigroup,28187,9/21/2012,Theft,Other Portable Electronic Device,2014-06-20,"The covered entity's (CE) business associate (BA), Health Plus Amerigroup, mailed an unencrypted compact disk that contained the electronic protected health information (ePHI) of 28,187 individuals to the CE, The Brookdale University Hospital and Medical Center.  OCR closed this breach report and consolidated into an existing breach report filed by OHP PHSP, Inc. regarding the same issues.",2012-09-21,NA,2012
691,690,"Ultra Stores, Inc.",40.633125,-89.398528,IL,Plexus Group,500,9/13/2012,Unauthorized Access/Disclosure,Other,2014-03-24,,2012-09-13,NA,2012
695,694,"State of California, Dept. of Developmental Services",36.778261,-119.417932,CA,North Los Angeles County Regional Center ,18162,11/10/2012,Theft,Laptop,2014-01-23,,2012-11-10,NA,2012
705,704,Mount Sinai Medical Center,27.664827,-81.515754,FL,,628,10/01/2012 - 02/18/2013,Theft,"Desktop Computer, Paper",2014-01-23,,2012-10-01,2013-02-18,2012
708,707,University of Mississippi Medical Center,32.354668,-89.398528,MS,,500,11/01/2012-01/19/2013,Loss,Laptop,2014-01-23,,2012-11-01,2013-01-19,2012
714,713,"Shands Jacksonville Medical Center, Inc.",27.664827,-81.515754,FL,,1025,05/02/2012-06/22/2012,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,,2012-05-02,2012-06-22,2012
717,716,GLENS FALLS HOSPITAL,43.299428,-74.217933,NY,PORTAL HEALTHCARE SOLUTIONS LLC,2360,11/02/2012 - 03/14/2013,Theft,Network Server,2014-06-03,"The covered entity's (CE) business associate (BA) operated a server containing the electronic protected health information (ePHI) of 2,360 individuals that was vulnerable to access by unauthorized persons for over four months.  The ePHI included transcribed doctors' notes, which may have included medical diagnoses, clinical laboratory results, diagnostic imaging reports, emergency department records, and medication administration.  Upon discovery of the breach, the CE engaged a computer forensic expert to investigate the incident and terminated the BA agreement.  As a result of OCR's investigation, the CE ensured that its BA secured the server, verified that the server was no longer accessible from the Internet, and required the BA to return or destroy all of the CE's ePHI.",2012-11-02,2013-03-14,2012
720,719,Network Health Insurance Corporation,43.78444,-88.787868,WI,TMG Health ,3794,2/27/2012,Unauthorized Access/Disclosure,Paper,2014-03-24,,2012-02-27,NA,2012
726,725,Hope Hospice,31.968599,-99.901813,TX,,818,12/27/2012 - 02/22/2013,Other,E-mail,2014-01-23,,2012-12-27,2013-02-22,2012
736,735,El Centro Regional Medical Center,36.778261,-119.417932,CA,Digital Archive Management,189489,11/7/2012,Improper Disposal,Paper,2014-01-23,,2012-11-07,NA,2012
745,744,Lutheran Social Services of South Central Pennsylvania,41.203322,-77.194525,PA,,7803,06/01/2012 - 03/07/2013,Hacking/IT Incident,Network Server,2014-01-23,,2012-06-01,2013-03-07,2012
752,751,University of Florida,27.664827,-81.515754,FL,,5875,02/01/2012- 04/11/2013,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,,2012-02-01,2013-04-11,2012
754,753,UMASSAmherst,42.407211,-71.382437,MA,,1670,10/22/2012,Hacking/IT Incident,Desktop Computer,2014-01-23,,2012-10-22,NA,2012
777,776,Long Beach Memorial Medical Center,36.778261,-119.417932,CA,,2864,09/01/2012-07/01/2013,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2012-09-01,2013-07-01,2012
779,778,Sheet Metal Local 36 Welfare Fund,37.964253,-91.831833,MO,People Resource Corporation,4560,08/01/2012-07/08/2013,Unauthorized Access/Disclosure,Other,2014-01-23,,2012-08-01,2013-07-08,2012
845,844,Broward Health Medical Center,27.664827,-81.515754,FL,,960,10/01/2012 - 12/31/2012,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2012-10-01,2012-12-31,2012
846,845,Sentara Healthcare,37.431573,-78.656894,VA,,3645,10/01/2012 - 07/11/2013,Theft,"Electronic Medical Record, Paper",2014-01-23,,2012-10-01,2013-07-11,2012
870,869,Associated Urologists of North Carolina,35.759573,-79.0193,NC,,7300,09/17/2012 - 09/17/2013,Other,Other,2014-01-23,,2012-09-17,2013-09-17,2012
883,882,UPMC,41.203322,-77.194525,PA,,1279,11/05/2012 - 11/06/2013,Unauthorized Access/Disclosure,Electronic Medical Record,2014-02-18,,2012-11-05,2013-11-06,2012
948,947,Missouri Consolidated Health Care Plan,37.964253,-91.831833,MO,"StayWell Health Management, LLC",10024,3/23/2012,Unauthorized Access/Disclosure,Network Server,2014-03-12,,2012-03-23,NA,2012
949,948,The Clorox Company Group Insurance Plan,36.778261,-119.417932,CA,"StayWell Health Management, LLC",520,4/16/2012,Unauthorized Access/Disclosure,Network Server,2014-03-12,,2012-04-16,NA,2012
950,949,Regents of the University of Minnesota,46.729553,-94.6859,MN,"StayWell Health Management, LLC",4786,3/29/2012,Unauthorized Access/Disclosure,Network Server,2014-03-24,,2012-03-29,NA,2012
952,951,"Nissan North America, Inc.",35.517491,-86.580447,TN,"StayWell Health Management, LLC",1511,5/8/2012,Unauthorized Access/Disclosure,Network Server,2014-03-12,,2012-05-08,NA,2012
969,968,Detroit Medical Center - Harper University Hospital,44.314844,-85.602364,MI,,1087,9/7/2012,"Theft, Unauthorized Access/Disclosure",Paper,2014-05-06,,2012-09-07,NA,2012
974,973,"QBE Holdings, Inc.",43.299428,-74.217933,NY,"StayWell Health Management, LLC",1746,5/9/2012,Unauthorized Access/Disclosure,Network Server,2014-04-21,,2012-05-09,NA,2012
975,974,Berea College,37.839333,-84.270018,KY,,1000,1/24/2012,Other,Electronic Medical Record,2014-04-21,,2012-01-24,NA,2012
1002,1001,"Amerigroup Texas, Inc. ",37.431573,-78.656894,VA,"Amerigroup Texas, Inc. ",75026,4/1/2012,Theft,Paper,2014-05-13,,2012-04-01,NA,2012
1028,1027,Reading Health System,41.203322,-77.194525,PA,,1845,3/2/2012,Loss,Paper,2014-05-27,,2012-03-02,NA,2012
1031,1030,The City of Henderson,37.839333,-84.270018,KY,KEYSTONE INSURERS GROUP,1008,6/27/2012,Other,E-mail,2014-05-27,,2012-06-27,NA,2012
666,665,Kmart Corporation,40.633125,-89.398528,IL,Kmart Pharmacy #7623,16988,1/2/2013,Improper Disposal,Paper,2014-02-12,,2013-01-02,NA,2013
669,668,Yadkinville Chiropractic DCPA,35.759573,-79.0193,NC,Yadkinville Chiropractic DCPA,1000,2/1/2013,Theft,Desktop Computer,2014-02-12,,2013-02-01,NA,2013
670,669,"Intervention Services, Inc.",27.664827,-81.515754,FL,,1200,1/19/2013,Theft,Laptop,2014-01-23,,2013-01-19,NA,2013
672,671,"Center for Pain Management, LLC",39.045755,-76.641271,MD,,5822,1/22/2013,Theft,Laptop,2014-01-23,,2013-01-22,NA,2013
673,672,Multiple Health Plans,36.778261,-119.417932,CA,"Coast Healthcare Management, LLC",1368,12/7/2013,"Theft, Other",Paper,2014-01-23,,2013-12-07,NA,2013
679,678,Heyman HospiceCare at Floyd,32.157435,-82.907123,GA,,1819,1/4/2013,Theft,Laptop,2014-01-23,,2013-01-04,NA,2013
687,686,"County of San Bernardino, Department of Behavioral Health",36.778261,-119.417932,CA,,686,1/12/2013,Theft,Paper,2014-01-23,,2013-01-12,NA,2013
688,687,"WOMENS HEALTH ENTERPRISE, INC.",32.157435,-82.907123,GA,,3000,1/2/2013,Theft,Laptop,2014-01-23,,2013-01-02,NA,2013
693,692,Lancaster General Medical Group,41.203322,-77.194525,PA,,527,2/5/2013,Theft,Paper,2014-01-23,,2013-02-05,NA,2013
694,693,Maine Medical Center,45.253783,-69.445469,ME,,1920,2/27/2013,Other,E-mail,2014-02-12,,2013-02-27,NA,2013
696,695,Utah Department of Health ,39.32098,-111.093731,UT,Goold Health System (Goold),6332,01/10/2013-01/11/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-01-10,2013-01-11,2013
697,696,Sports Rehabilitation Consultants,40.417287,-82.907123,OH,,1200,2/1/2013,Theft,Desktop Computer,2014-02-12,,2013-02-01,NA,2013
699,698,"United HomeCare Services, Inc.",27.664827,-81.515754,FL,,12299,1/8/2013,Theft,Laptop,2014-01-23,,2013-01-08,NA,2013
700,699,United Home Care Services of Southwest Florida< LLC,27.664827,-81.515754,FL,"United HomeCare Services, Inc.",1318,1/8/2013,Theft,Laptop,2014-01-23,,2013-01-08,NA,2013
701,700,"catoctin Dental/Richard B. Love, DDS, PA",39.045755,-76.641271,MD,Patterson Dental Supply/Patterson Companies,6400,1/3/2013,Hacking/IT Incident,Network Server,2014-01-23,,2013-01-03,NA,2013
706,705,"Thomas L. Davis, Jr. DDS",43.804133,-120.554201,OR,,3269,2/12/2013,Theft,"Desktop Computer, Electronic Medical Record",2014-01-23,,2013-02-12,NA,2013
707,706,"HealthCare for Women, Inc.",42.407211,-71.382437,MA,,8727,01/18/2013-01/23/2013,Hacking/IT Incident,Network Server,2014-01-23,,2013-01-18,2013-01-23,2013
709,708,Granger Medical Clinic,39.32098,-111.093731,UT,,2600,1/17/2013,"Theft, Loss, Other",Paper,2014-02-12,,2013-01-17,NA,2013
710,709,Texas Tech Unversity Health Sciences Center,31.968599,-99.901813,TX,,697,2/18/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-02-18,NA,2013
711,710,Rite Aid #10217,41.580095,-71.477429,RI,,2082,2/1/2013,"Unknown, Other",Paper,2014-02-12,,2013-02-01,NA,2013
712,711,WA Department of Social and Health Services,47.751074,-120.740139,WA,"Sunil Kakar, Psy.D.",629,2/4/2013,Theft,Laptop,2014-01-23,,2013-02-04,NA,2013
713,712,Carpenters Health & Welfare Trust Fund for California,36.778261,-119.417932,CA,"QuickRunner, Inc. (dba, RoadRunner Mailing Services)",2400,03/11/2013-03/12/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-03-11,2013-03-12,2013
716,715,Kmart Corporation,40.633125,-89.398528,IL,,12542,3/17/2013,Theft,Electronic Medical Record,2014-02-12,,2013-03-17,NA,2013
718,717,Hospice and Palliative Care Center of Alamance Caswell,35.759573,-79.0193,NC,,5370,2/24/2013,"Theft, Unauthorized Access/Disclosure","Laptop, Paper",2014-01-23,,2013-02-24,NA,2013
719,718,"Texas Health Care, P.L.L.C.",31.968599,-99.901813,TX,,554,3/10/2013,Theft,Paper,2014-01-23,,2013-03-10,NA,2013
721,720,Wm. Jennings Bryan Dorn VAMC,33.836081,-81.163725,SC,,7405,2/11/2013,Loss,Laptop,2014-01-23,,2013-02-11,NA,2013
722,721,John J. Pershing VA Medical Center,37.964253,-91.831833,MO,,589,2/20/2013,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), John J. Pershing VA Medical Center, after the CE reported that its business associate (BA), Stress Laboratory, placed a box of unsecured protected health information (PHI) in an equipment storage room.  The PHI included the names, social security numbers, diagnoses, and age of approximately 589 individuals.  This breach incident involved a BA, and occurred prior to the September 23, 2013 compliance date.  The BA employee involved in this matter separated from employment in 2012, and the BA was reorganized and has been incorporated into the CE.  The CE provided breach notification to affected individuals, HHS, and the media.  Substitute notification was provided through a posting on the CE's main website with a toll-free information number.  The CE also offered one year of identity protection and credit monitoring services to affected individuals.  As a result of this incident, the CE adopted a new policy that provides guidance to its staff regarding the handling of PHI.  Additionally, the CE trained its employees on this new policy, and re-trained its employees on the Privacy, Security, and Breach Notification Rules.  Finally, OCR obtained assurances that the CE implemented the corrective action listed above.



",2013-02-20,NA,2013
723,722,Oregon Health & Science University,43.804133,-120.554201,OR,,1076,2/22/2013,Theft,Laptop,2014-01-23,,2013-02-22,NA,2013
724,723,Schneck Medical Center,40.551217,-85.602364,IN,,3131,3/14/2013,Unauthorized Access/Disclosure,Other,2014-02-12,,2013-03-14,NA,2013
725,724,The Guidance Center of Westchester,43.299428,-74.217933,NY,,1416,2/21/2013,Theft,Desktop Computer,2014-01-23,,2013-02-21,NA,2013
727,726,"IHC Health Services, Inc. dba Intermountain Life Flight",39.32098,-111.093731,UT,,857,3/28/2013,Unauthorized Access/Disclosure,Other,2014-02-12,,2013-03-28,NA,2013
728,727,Valley Mental Health,39.32098,-111.093731,UT,,700,2/27/2013,Theft,Desktop Computer,2014-01-23,,2013-02-27,NA,2013
729,728,Delta Dental of Pennsylvania,41.203322,-77.194525,PA,ZDI,14829,3/20/2013,Loss,Paper,2014-01-23,,2013-03-20,NA,2013
730,729,Raleigh Orthopaedic Clinic,35.759573,-79.0193,NC,,17300,1/15/2013,"Theft, Improper Disposal, Unauthorized Access/Disclosure",Paper,2014-01-23,,2013-01-15,NA,2013
731,730,Laboratory Corporation of America,35.759573,-79.0193,NC,,1580,3/15/2013,Theft,Desktop Computer,2014-02-12,,2013-03-15,NA,2013
732,731,"Arizona Counseling & Treatment Services, LLC",34.048928,-111.093731,AZ,,3800,03/18/2013-03/25/2013,Theft,Other Portable Electronic Device,2014-01-23,,2013-03-18,2013-03-25,2013
733,732,Wood County Hospital,40.417287,-82.907123,OH,,2500,3/19/2013,Theft,Other,2014-01-23,,2013-03-19,NA,2013
734,733,University of Rochester Medical Center & Affiliates,43.299428,-74.217933,NY,,537,2/15/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-02-15,NA,2013
735,734,Orthopedics & Adult Reconstructive Surgery,31.968599,-99.901813,TX,AssuranceMD f/k/a Harbor Group,22000,03/01/2013 - 03/13/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-03-01,2013-03-13,2013
737,736,Seattle - King County Department of Public Health,47.751074,-120.740139,WA,,750,3/7/2013,Improper Disposal,Paper,2014-01-23,,2013-03-07,NA,2013
738,737,Regional Medical Center,35.517491,-86.580447,TN,,1180,2/4/2013,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2013-02-04,NA,2013
739,738,Presbyterian Anesthesia Associates PA,35.759573,-79.0193,NC,"E-dreamz, Inc.",9988,4/1/2013,Hacking/IT Incident,Network Server,2014-01-23,,2013-04-01,NA,2013
740,739,"Integrity Oncology, an office of Baptist Medical Group",35.517491,-86.580447,TN,"North Atlantic Telecom, Inc.",539,3/5/2013,Other,Desktop Computer,2014-01-23,,2013-03-05,NA,2013
741,740,"Piedmont HealthCare, P.A.",35.759573,-79.0193,NC,"E-dreamz, Inc.",1924,3/28/2013,Hacking/IT Incident,Network Server,2014-01-23,,2013-03-28,NA,2013
742,741,Indiana University Health Arnett,40.551217,-85.602364,IN,,10350,4/9/2013,Theft,Laptop,2014-01-23,,2013-04-09,NA,2013
743,742,"Dent Neurologic Group, LLP",43.299428,-74.217933,NY,,10000,5/13/2013,Other,E-mail,2014-01-23,,2013-05-13,NA,2013
744,743,City of Norwood,40.417287,-82.907123,OH,,9577,04/14/2013 - 04/19/2013,Loss,Laptop,2014-01-23,,2013-04-14,2013-04-19,2013
746,745,Comfort Dental Marion and Kokomo,40.551217,-85.602364,IN,Just the Connection Inc,5388,03/14/2013-03/18/2013,Improper Disposal,Other,2014-01-23,,2013-03-14,2013-03-18,2013
747,746,Erskine Family Dentistry,40.551217,-85.602364,IN,,2723,3/19/2013,Hacking/IT Incident,Desktop Computer,2014-02-12,,2013-03-19,NA,2013
748,747,Health Resources of Arkansas,35.20105,-91.831833,AR,,1900,4/14/2013,"Theft, Unauthorized Access/Disclosure",Other,2014-01-23,,2013-04-14,NA,2013
749,748,Various Health Plans,32.318231,-86.902298,AL,SynerMed / Inland Valleys IPA,3164,04/14/2013-04/15/2013,Theft,Laptop,2014-01-23,,2013-04-14,2013-04-15,2013
750,749,Independence Care System,43.299428,-74.217933,NY,,2434,5/7/2013,Theft,Laptop,2014-01-23,,2013-05-07,NA,2013
751,750,Sonoma Valley Hospital,36.778261,-119.417932,CA,,1386,2/14/2013,Other,Other,2014-01-23,,2013-02-14,NA,2013
753,752,"Community Support Services, Inc.",40.417287,-82.907123,OH,,1167,03/20/2013-03/26/2013,Theft,E-mail,2014-02-12,,2013-03-20,2013-03-26,2013
755,754,Palm Beach County Health Department,27.664827,-81.515754,FL,,877,1/7/2013,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2013-01-07,NA,2013
756,755,Lucile Packard Children's Hospital,36.778261,-119.417932,CA,,12900,5/8/2013,Theft,Laptop,2014-01-23,,2013-05-08,NA,2013
757,756,Fayetteville VAMC,35.759573,-79.0193,NC,,1093,4/17/2013,Improper Disposal,Paper,2014-01-23,,2013-04-17,NA,2013
758,757,Lincoln County Health and Human Services/Lincoln Community Health Center,43.804133,-120.554201,OR,,959,4/17/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-04-17,NA,2013
759,758,Union Security Insurance Company,37.964253,-91.831833,MO,,1127,5/17/2013,Improper Disposal,E-mail,2014-01-23,,2013-05-17,NA,2013
760,759,"Gulf Breeze Family Eyecare, Inc",27.664827,-81.515754,FL,,9626,03/08/2013-05/09/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server, E-mail, Electronic Medical Record, Paper",2014-01-23,,2013-03-08,2013-05-09,2013
761,760,Jacksonville Spine Center,27.664827,-81.515754,FL,,5200,4/25/2013,Unauthorized Access/Disclosure,Paper,2014-01-23,,2013-04-25,NA,2013
762,761,Iowa Department of Human Services,41.878003,-93.097702,IA,,7335,4/30/2013,"Loss, Unknown",Other,2014-01-23,,2013-04-30,NA,2013
763,762,James A. Fosnaugh,41.492537,-99.901813,NE,,2125,05/01/2013 - 05/03/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-05-01,2013-05-03,2013
764,763,Lone Star Circle of Care,31.968599,-99.901813,TX,,1955,05/01/2013-05/02/2013,Theft,Laptop,2014-01-23,,2013-05-01,2013-05-02,2013
765,764,Aflac,32.157435,-82.907123,GA,Alberto Gerardo Vazquez Rivera,679,5/9/2013,Theft,Laptop,2014-01-23,,2013-05-09,NA,2013
766,765,Indiana Family & Social Services Administration,40.551217,-85.602364,IN,RCR Technology Corporation,187533,04/06/2013-05/21/2013,Other,Paper,2014-01-23,,2013-04-06,2013-05-21,2013
767,766,Northrop Grumman Retiree Health Plan,37.431573,-78.656894,VA,CVS Caremark,4305,5/20/2013,Theft,Paper,2014-06-24,"Business associate (BA) employees erroneously sent 4,305 health plan members' protected health information (PHI) to other plan members.  The PHI involved in the breach included names and prescribed medication(s).  The covered entity, Northrop Grumman Retiree Health Plan, provided breach notification to HHS, and the BA, CVS Caremark, provided breach notification to affected individuals and the media.  Following the breach, the BA revised its quality control policies for targeted mailings and retrained employees involved in the breach to prevent similar incidents in the future.  OCR obtained assurances that the BA implemented the breach notification and policy revisions listed above.",2013-05-20,NA,2013
768,767,"Health Net, Inc.",36.778261,-119.417932,CA,,8331,04/01/2013 - 05/31/2013,Other,Paper,2014-01-23,,2013-04-01,2013-05-31,2013
769,768,"South Florida Neurology Associates, P.A.",27.664827,-81.515754,FL,,900,05/25/2013-05/30/2013,Theft,Laptop,2014-01-23,,2013-05-25,2013-05-30,2013
770,769,Samaritan Regional Health System,40.417287,-82.907123,OH,,2203,5/29/2013,Other,Paper,2014-01-23,,2013-05-29,NA,2013
771,770,MED-EL Coproration,35.759573,-79.0193,NC,,609,6/25/2013,Other,E-mail,2014-01-23,,2013-06-25,NA,2013
773,772,Illinois Department of Healthcare and Familiy Services,40.633125,-89.398528,IL,Family Health Network,3133,5/8/2013,Other,Paper,2014-01-23,,2013-05-08,NA,2013
774,773,Delta Dental of Pennsylvania,41.203322,-77.194525,PA,ZDI,4718,5/13/2013,Loss,Paper,2014-01-23,,2013-05-13,NA,2013
775,774,"Medtronic, Inc.",46.729553,-94.6859,MN,,2764,03/28/2013-03/29/2013,Loss,Paper,2014-01-23,,2013-03-28,2013-03-29,2013
776,775,Texas Health Harris Methodist Hospital Fort Worth,31.968599,-99.901813,TX,Shred-it International Inc.,277014,5/11/2013,Improper Disposal,Other,2014-01-23,,2013-05-11,NA,2013
778,777,Hansen & Associates,43.075968,-107.290284,WY,,2700,05/21/2013-05/29/2013,Theft,Desktop Computer,2014-06-10,,2013-05-21,2013-05-29,2013
782,781,"GEO Care, LLC",27.664827,-81.515754,FL,,710,4/16/2013,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2013-04-16,NA,2013
783,782,The Brookdale Hospital and Medical Center,43.299428,-74.217933,NY,,2700,5/24/2013,Loss,Other Portable Electronic Device,2014-01-23,,2013-05-24,NA,2013
786,785,"Rocky Mountain Spine Clinic, P.C.",39.550051,-105.782067,CO,,532,6/11/2013,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,,2013-06-11,NA,2013
787,786,"Vitreo-Retinal Medical Group, Inc. ",36.778261,-119.417932,CA,,1837,6/5/2013,Theft,Laptop,2014-01-23,,2013-06-05,NA,2013
788,787,Arkansas Department of Human Services,35.20105,-91.831833,AR,Health Resources of Arkansas,1911,4/14/2013,Theft,Laptop,2014-02-12,,2013-04-14,NA,2013
789,788,Baylor All Saints Medical Center at Fort Worth,31.968599,-99.901813,TX,,940,05/07/2013-06/06/2013,Unauthorized Access/Disclosure,Other Portable Electronic Device,2014-02-12,,2013-05-07,2013-06-06,2013
790,789,"Cogent Healthcare, Inc.",35.517491,-86.580447,TN,M2ComSys Inc.,32151,05/05/2013-06/24/2013,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2013-05-05,2013-06-24,2013
